../results/wi29_swap-1-01.csv,../results/wi29_swap-1-02.csv,avg
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,41019.84459200001,40806.733464000004
40593.622336,40895.600144000004,40744.61124
40593.622336,40895.600144000004,40744.61124
40593.622336,40895.600144000004,40744.61124
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40591.28900000001,40895.600144000004,40743.44457200001
40523.26678400001,40895.600144000004,40709.433464
40523.26678400001,40895.600144000004,40709.433464
40523.26678400001,40895.600144000004,40709.433464
40523.26678400001,40895.600144000004,40709.433464
