../results/wi29_exp_rank_swap-01.csv,../results/wi29_exp_rank_swap-02.csv,avg
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41514.333456,40879.28900800001,41196.81123200001
41417.60012,40879.28900800001,41148.444564000005
41275.666792,40879.28900800001,41077.477900000005
41138.33345600001,40879.28900800001,41008.81123200001
41138.33345600001,40879.28900800001,41008.81123200001
41138.33345600001,40879.28900800001,41008.81123200001
41138.33345600001,40879.28900800001,41008.81123200001
41138.33345600001,40879.28900800001,41008.81123200001
41138.33345600001,40879.28900800001,41008.81123200001
41138.33345600001,40879.28900800001,41008.81123200001
41138.33345600001,40879.28900800001,41008.81123200001
41138.33345600001,40879.28900800001,41008.81123200001
41138.33345600001,40879.28900800001,41008.81123200001
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
41060.000120000004,40879.28900800001,40969.644564
40979.800144,40879.28900800001,40929.544576
40979.800144,40879.28900800001,40929.544576
40979.800144,40879.28900800001,40929.544576
40979.800144,40879.28900800001,40929.544576
40979.800144,40879.28900800001,40929.544576
40979.800144,40879.28900800001,40929.544576
40979.800144,40879.28900800001,40929.544576
40979.800144,40879.28900800001,40929.544576
40979.800144,40879.28900800001,40929.544576
40945.35570400001,40879.28900800001,40912.322356000004
40945.35570400001,40879.28900800001,40912.322356000004
40945.35570400001,40879.28900800001,40912.322356000004
40945.35570400001,40879.28900800001,40912.322356000004
40777.333472,40879.28900800001,40828.31124
40777.333472,40879.28900800001,40828.31124
40656.644584,40879.28900800001,40767.96679600001
40463.311256,40879.28900800001,40671.300132000004
40463.311256,40879.28900800001,40671.300132000004
40463.311256,40879.28900800001,40671.300132000004
40463.311256,40879.28900800001,40671.300132000004
40463.311256,40879.28900800001,40671.300132000004
40463.311256,40879.28900800001,40671.300132000004
40463.311256,40799.933456000006,40631.62235600001
40463.311256,40799.933456000006,40631.62235600001
40463.311256,40799.933456000006,40631.62235600001
40463.311256,40799.933456000006,40631.62235600001
40463.311256,40799.933456000006,40631.62235600001
40463.311256,40799.933456000006,40631.62235600001
40463.311256,40799.933456000006,40631.62235600001
40463.311256,40799.933456000006,40631.62235600001
40463.311256,40799.933456000006,40631.62235600001
40463.311256,40799.933456000006,40631.62235600001
40453.40015200001,40799.933456000006,40626.66680400001
40453.40015200001,40799.933456000006,40626.66680400001
40453.40015200001,40799.933456000006,40626.66680400001
40453.40015200001,40799.933456000006,40626.66680400001
40453.40015200001,40799.933456000006,40626.66680400001
40453.40015200001,40799.933456000006,40626.66680400001
40453.40015200001,40799.933456000006,40626.66680400001
40304.311256,40799.933456000006,40552.12235600001
40304.311256,40799.933456000006,40552.12235600001
40304.311256,40799.933456000006,40552.12235600001
40304.311256,40799.933456000006,40552.12235600001
40304.311256,40799.933456000006,40552.12235600001
40304.311256,40799.933456000006,40552.12235600001
40304.311256,40799.933456000006,40552.12235600001
40304.311256,40799.933456000006,40552.12235600001
40295.977936,40799.933456000006,40547.955696000005
40295.977936,40799.933456000006,40547.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40799.933456000006,40533.955696000005
40267.977936,40714.311224000005,40491.14458000001
40267.977936,40714.311224000005,40491.14458000001
40267.977936,40714.311224000005,40491.14458000001
