../results/dj38_exp_rank_mutator000-01.csv,../results/dj38_exp_rank_mutator000-02.csv,avg
8388.889032000003,8309.711288,8349.300160000003
8382.822368000003,8309.711288,8346.266828000002
8382.822368000003,8309.711288,8346.266828000002
8382.822368000003,8309.711288,8346.266828000002
8340.800144000004,8309.711288,8325.255716000003
8340.800144000004,8309.711288,8325.255716000003
8334.555704000006,8309.711288,8322.133496000002
8318.289032000006,8309.711288,8314.000160000003
8318.289032000006,8284.400176000001,8301.344604000004
8318.289032000006,8284.400176000001,8301.344604000004
8318.289032000006,8284.400176000001,8301.344604000004
8318.289032000006,8273.644624000002,8295.966828000004
8318.289032000006,8252.889064000003,8285.589048000005
8318.289032000006,8252.889064000003,8285.589048000005
8318.289032000006,8252.889064000003,8285.589048000005
8318.289032000006,8252.889064000003,8285.589048000005
8318.289032000006,8252.889064000003,8285.589048000005
8310.755728000004,8252.889064000003,8281.822396000003
8310.755728000004,8252.889064000003,8281.822396000003
8307.155752000006,8252.889064000003,8280.022408000004
8295.000200000004,8252.889064000003,8273.944632000002
8295.000200000004,8252.889064000003,8273.944632000002
8273.622408000005,8252.889064000003,8263.255736000003
8255.733512000004,8252.889064000003,8254.311288000004
8252.755736000005,8252.889064000003,8252.822400000005
8252.755736000005,8242.733520000002,8247.744628000004
8252.755736000005,8242.733520000002,8247.744628000004
8252.755736000005,8242.733520000002,8247.744628000004
8252.755736000005,8242.733520000002,8247.744628000004
8252.755736000005,8242.733520000002,8247.744628000004
8252.755736000005,8242.733520000002,8247.744628000004
8252.755736000005,8242.733520000002,8247.744628000004
8252.755736000005,8242.733520000002,8247.744628000004
8238.533504000003,8242.733520000002,8240.633512000002
8238.533504000003,8242.733520000002,8240.633512000002
8238.533504000003,8242.733520000002,8240.633512000002
8238.533504000003,8242.733520000002,8240.633512000002
8238.533504000003,8242.733520000002,8240.633512000002
8238.533504000003,8222.666848,8230.600176000002
8238.533504000003,8222.666848,8230.600176000002
8238.533504000003,8222.666848,8230.600176000002
8238.533504000003,8195.311288,8216.922396000002
8238.533504000003,8195.311288,8216.922396000002
8238.533504000003,8195.311288,8216.922396000002
8238.533504000003,8195.311288,8216.922396000002
8238.533504000003,8195.311288,8216.922396000002
8238.533504000003,8193.000176000001,8215.766840000002
8238.533504000003,8193.000176000001,8215.766840000002
8226.822392000004,8193.000176000001,8209.911284000002
8226.822392000004,8193.000176000001,8209.911284000002
8226.822392000004,8193.000176000001,8209.911284000002
8212.911280000002,8193.000176000001,8202.955728
8212.155720000004,8188.6446240000005,8200.400172000001
8212.155720000004,8188.6446240000005,8200.400172000001
8192.422392000004,8188.6446240000005,8190.533508000002
8192.422392000004,8188.6446240000005,8190.533508000002
8192.422392000004,8188.6446240000005,8190.533508000002
8192.422392000004,8188.6446240000005,8190.533508000002
