../results/qa194_swap-1-01.csv,../results/qa194_swap-1-02.csv,avg
4520.22239200001,4551.644688000013,4535.933540000011
4520.22239200001,4551.644688000013,4535.933540000011
4520.22239200001,4551.644688000013,4535.933540000011
4518.15574400001,4551.644688000013,4534.900216000011
4518.15574400001,4551.644688000013,4534.900216000011
4518.15574400001,4551.644688000013,4534.900216000011
4518.15574400001,4551.644688000013,4534.900216000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4508.844640000009,4543.133576000013,4525.989108000011
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4543.133576000013,4521.366892000012
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4499.600208000011,4540.200248000013,4519.900228000011
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4497.666880000011,4540.200248000013,4518.933564000012
4496.777992000011,4540.200248000013,4518.489120000012
4496.777992000011,4540.200248000013,4518.489120000012
4496.777992000011,4540.200248000013,4518.489120000012
4496.777992000011,4540.200248000013,4518.489120000012
4496.777992000011,4540.200248000013,4518.489120000012
4496.777992000011,4540.200248000013,4518.489120000012
4496.777992000011,4540.200248000013,4518.489120000012
4496.777992000011,4540.200248000013,4518.489120000012
4496.777992000011,4540.200248000013,4518.489120000012
4496.466888000011,4540.200248000013,4518.333568000012
4482.911344000011,4540.200248000013,4511.5557960000115
4482.911344000011,4540.200248000013,4511.5557960000115
4482.911344000011,4540.200248000013,4511.5557960000115
4482.911344000011,4540.200248000013,4511.5557960000115
4482.911344000011,4540.0224560000115,4511.466900000011
4482.911344000011,4533.889120000012,4508.400232000011
4479.578016000011,4533.889120000012,4506.7335680000115
4475.622472000012,4533.889120000012,4504.755796000012
4475.622472000012,4533.889120000012,4504.755796000012
4475.622472000012,4533.889120000012,4504.755796000012
4472.578016000011,4533.889120000012,4503.2335680000115
4470.089128000011,4533.889120000012,4501.9891240000115
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
